name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti Swift Dzire VDI,2014,13.017002861746503,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5
Skoda Rapid 1.5 TDI Ambition,2014,12.821258284620408,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5
Honda City 2017-2020 EXi,2006,11.970350312009105,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0,5
Hyundai i20 Sportz Diesel,2010,12.323855681186558,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5
Maruti Swift VXI BSIII,2007,11.77528972943772,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5
Hyundai Xcent 1.2 VTVT E Plus,2017,12.994530005894443,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5
Maruti Wagon R LXI DUO BSIII,2007,11.472103470449973,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5
Maruti 800 DX BSII,2001,10.714417768752456,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4
Toyota Etios VXD,2011,12.765688433465597,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5
Ford Figo Diesel Celebration Edition,2013,12.206072645530174,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5
Renault Duster 110PS Diesel RxL,2014,13.122363377404328,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5
Maruti Zen LX,2005,11.429543856031177,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5
Maruti Swift Dzire VDi,2009,12.542544882151386,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
Maruti Wagon R LXI Minor,2009,12.100712129872347,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5
Mahindra KUV 100 mFALCON G80 K8 5str,2016,12.89921982609012,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,5
Maruti Ertiga SHVS VDI,2016,13.564481803160529,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7
Hyundai i20 1.4 CRDi Asta,2012,13.122363377404328,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5
Maruti Alto LX,2002,11.918390573078392,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
